Site;Month;Site_Month;Aeshnidae;Ancylidae;Athericidae;Atriplectididae;Atyidae;Austroperlidae;Baetidae;Caenidae;Calamoceratidae;Calocidae;Ceinidae;Ceratopogonidae;Chironomidae;Coenagrionidae;Coloburiscidae;Conoesucidae;Corbiculidae;Corixidae;Corydalidae;Culicidae;Curculionidae;Dixidae;Dytiscidae;Ecnomidae;Elmidae;Erpobdellidae;Eustheniidae;Gerridae;Glossiphoniidae;Gomphidae;Gripopterygidae;Gyrinidae;Hemicorduliidae;Hydraenidae;Hydrobiosidae;Hydrophilidae;Hydropsychidae;Hydroptilidae;Hygrobiidae;Hymenosomatidae;Isostictidae;Janiridae;Leptoceridae;Leptophlebiidae;Lymnaeidae;Megapodagrionidae;Nepidae;Neurorthidae;Notonectidae;Oniscidae;Oniscigastridae;Parastacidae;Philorheithridae;Physidae;Planorbidae;Psephenidae;Ptilodactylidae;Pyralidae;Richardsonianidae;Scirtidae;Scyphacidae;Simuliidae;Sminthuridae;Sphaeriidae;Stratiomyidae;Synlestidae;Synthemistidae;Tabanidae;Telephlebiidae;Tipulidae;Veliidae;Lepidoptera;Mites;Oligochaeta;Turbellaria
1;2;1_2;0;0;0;2;21;0;0;0;66;0;0;0;21;0;0;0;0;1073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;66;0;21;0;2;0;0;0;0;0;0;651;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;21;0;2;0;0
1;9;1_9;0;0;0;0;201;0;0;7;0;0;2;0;651;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;4;7;2;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0
1;11;1_11;0;0;0;0;201;0;21;21;0;0;2;2;66;0;0;0;0;1000;0;0;7;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;9;2;21;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;7;0;0;0;0
2;2;2_2;0;0;0;0;66;0;0;0;0;0;0;0;7;0;0;0;0;73;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
2;9;2_9;0;0;0;2;66;0;7;0;0;0;0;0;21;0;0;2;0;658;0;0;0;0;0;2;0;0;0;0;0;0;21;0;0;0;0;0;2;0;0;0;0;0;66;73;0;0;0;0;0;0;0;0;0;201;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
2;11;2_11;0;0;0;0;66;0;2;7;0;0;0;0;0;0;0;0;0;208;0;0;0;0;0;0;0;0;0;7;0;7;7;0;0;0;0;0;0;0;0;0;0;0;73;7;0;0;0;0;0;0;2;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0
3;2;3_2;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;208;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
3;9;3_9;0;0;0;0;7;0;0;0;0;0;0;0;66;0;0;0;0;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
3;11;3_11;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;23;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;7;0;0;0;0;0;0;2;0;7;0;0;7;0
4;2;4_2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;21;0;0;0;0;66;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;66;0;0;0;0
