ID;T;pH;oxygen;Depth;maxwidth;minwidth;rifperc;poolperc;Bedrock;Boulder;Cobble;Pebble;Gravel;Sand;Claysilt;logCond;logNh4;logNO2;logNO3;logPO4;logTurb;logmaxTU
1-11;16.8;7.67;80.1;0.9;15;12;0;100;0;0;0;0;0;20;80;1.9786369484;-0.2076083105;-2.3;-0.6989700043;0.51;1.1818435879;-2.6333977582
2-11;16.5;7.29;83;0.9;30;15;0;100;0;0;0;0;0;10;90;1.8419848046;-0.3979400087;-2.3;-2.3010299957;-0.1;0.9777236053;-3.0214406111
3-11;17.3;7.2;77.9;0.4;4;2.5;0;100;0;0;10;0;0;10;80;2.6683859167;-0.6197887583;-2.3;-2.3010299957;0.38;1.1958996524;-3.6096478742
4-11;15.6;7.84;72;0.7;8;2.5;0;100;0;0;0;0;0;10;90;2.767897616;-0.0757207139;-2.3;-2.3010299957;-0.1;0.7403626895;-1.386677317
5-11;17.2;6.97;69.9;0.9;7;4;0;100;0;0;0;0;0;10;90;1.7596678447;-0.3979400087;-2.3;-2.3010299957;1.12;0.4771212547;-3.6078660602
6-11;15.5;7.26;80;0.2;3;2;5;95;0;0;15;25;15;5;40;2.7888751158;-0.7447274949;-2.3;-2.3010299957;-0.4;0.6020599913;-3.230615288
7-11;20.4;7.68;77.6;0.6;5;3;0;100;0;5;0;0;0;10;85;2.2479732664;-0.6197887583;-2.3;-2.3010299957;0.86;1.079181246;-2.493121716
8-11;16.9;7.19;80;0.3;8;4;0;100;0;0;0;0;0;10;90;2.2013971243;-0.6989700043;-2;0.1139433523;0.58;0.361727836;-2.6746218713
9-11;16.8;7.38;75.4;0.3;4;2;5;95;0;0;0;0;0;70;30;2;-1.8239087409;-2.3;-0.4202164034;-1.3;1.318063335;-4.0840727883
10-11;17;6.44;88.4;0.3;5;2;0;100;0;5;5;0;20;50;20;2.8603380066;-0.6020599913;-2.3;0.278753601;1.04;1.0681858617;-4.1278437273
11-11;15.2;7.13;96;0.1;2.5;1.5;5;95;0;5;0;5;20;40;30;2.1398790864;-0.2291479884;-2.3;-2.3010299957;0.51;1.0170333393;-4.9219058496
12-11;15.4;6.92;96;0.9;15;10;0;100;0;0;0;0;0;30;70;1.6364878964;-0.5686362358;-2.3;0.1760912591;1.48;1.5198279938;-2.2325443144
13-11;15.5;7.05;90;0.4;8;4;70;30;0;0;5;20;15;30;30;1.8836614352;-0.193820026;-2.3;-2.3010299957;0.26;0.8808135923;-2.6278210272
14-11;13.2;6.25;99;0.4;6;1.5;50;50;0;5;15;30;30;10;10;1.652246341;-0.7958800173;-2.3;-2.3010299957;0.11;0.2552725051;-4.4907974777
15-11;12;7.07;108.7;0.4;4;2;80;20;0;5;15;25;20;20;15;2.709269961;-0.3665315444;-2.3;-2.3010299957;-1;0.3424226808;-5.1366771399
16-11;22.8;8.94;141.2;0.2;8;3;20;80;10;10;20;10;10;20;20;2.6730209071;-0.4436974992;-2.3;-2.3010299957;1.41;0.7075701761;-4.1004530689
17-11;20.3;6.6;60;0.3;6;3;15;85;15;20;20;15;5;15;10;3.2314695904;-0.7958800173;-0.74;-2.3010299957;0.2;0.414973348;-1.2447834086
18-11;16.8;7.07;75;0.25;2;1;5;95;0;0;0;0;10;15;75;2.4712917111;-0.468521083;-2;-0.3979400087;0.66;1.0755469614;-1.0449313801
19-11;17;7.33;85.7;0.6;6;4;0;100;0;0;0;0;0;20;80;2.1290450599;-0.5686362358;-2.3;-2.3010299957;0.38;0.8512583487;-3.7534521823
20-11;16.5;7.3;88.5;0.2;3.5;3;0;100;5;0;5;20;20;30;20;2.160168293;-0.8860566477;-2.3;-0.15490196;-0.22;0.9777236053;-2.3798087504
21-11;18;8.11;26;0.4;10;5;0;100;0;0;0;0;0;10;90;3.5440680444;-0.193820026;-2.3;-2.3010299957;1.51;0.079181246;-3.034050808
22-11;14.2;7.24;104.8;0.4;2;1;5;95;0;10;15;5;10;40;20;3.4248816366;-1.5228787453;-2.3;-0.15490196;1.4;0.7923916895;-4.4533339749
23-11;14.7;6.9;4;0.1;3.5;2.5;0;100;0;0;0;5;10;40;45;3.6294095991;0.903089987;-0.07;-1.2218487496;0.48;1.220108088;-1.8888850774
24-11;20;7.98;93.5;0.4;15;10;10;90;10;10;30;15;15;15;5;3.3512163453;-0.5228787453;-2.3;-2.3010299957;1;0.5051499783;-4.1386448398
